,SEM_TT,fami_estratovivienda,estu_genero,punt_c_naturales,punt_lectura_critica,punt_matematicas,punt_sociales_ciudadanas,punt_ingles,estu_cod_reside_mcpio,cole_cod_mcpio_ubicacion,estu_cod_mcpio_presentacion,PUNT_TOTAL
0,20142,,,48.68546637744035,47.3470715835141,48.06941431670282,47.68112798264642,47.767895878524946,,14633.084598698482,14632.444685466377,239.55097613882864
1,20142,,F,46.091937765205095,48.0990099009901,46.05799151343706,47.86138613861386,47.3041018387553,,21098.158415841583,20877.90664780764,235.41442715700143
2,20142,,M,48.35558583106267,47.94550408719346,48.83242506811989,48.237057220708444,49.01226158038147,,22749.57084468665,22624.445504087194,242.38283378746593
3,20142,Estrato 1,,46.44,46.88,46.96,48.2,45.88,,41729.96,41712.28,234.36
4,20142,Estrato 1,F,45.92403323308727,46.621282541997026,46.048194052067196,46.87334062395577,46.40282967283332,37563.17743552356,37584.422506759016,37499.25737416082,231.86968012394058
5,20142,Estrato 1,M,47.91002137786383,45.84130969667635,47.81335713133269,46.76284688609229,46.92097249112617,37482.956689657956,37494.07915859955,37401.2315565505,235.2485075830913
6,20142,Estrato 2,,47.0,48.375,46.125,45.5,49.125,,33730.25,33692.875,236.125
7,20142,Estrato 2,F,49.37552313415485,51.072647833837095,49.333081453925445,50.53159149035108,49.27594357901263,8.707728507238219e+302,30938.694199023485,30899.14139153685,249.5887874912811
8,20142,Estrato 2,M,51.8604987688322,50.56731745457516,51.7863953040576,50.89221738572312,50.235415621243774,31160.960777677938,31179.87562287755,31108.838664503855,255.34184453443186
9,20142,Estrato 3,,51.666666666666664,55.833333333333336,55.0,58.0,50.166666666666664,1.4980776123852632e+307,29337.333333333332,29337.333333333332,270.6666666666667
10,20142,Estrato 3,F,53.02819292807644,55.034648871690585,52.82762433120767,53.821563246530175,54.023474363783535,26882.669917671912,26931.65066829875,26799.210874415116,268.7355037412884
11,20142,Estrato 3,M,55.355062013267954,54.3310554458521,55.36276097712498,54.188901954693705,54.998335958820526,26672.371014621374,26767.696257016705,26615.638681191896,274.23611634975924
12,20142,Estrato 4,,77.0,72.0,61.0,58.0,66.0,11001.0,11001.0,11001.0,334.0
13,20142,Estrato 4,F,58.525029916234544,59.86009174311926,58.48454327881931,58.09144395692062,63.8093338651775,27665.79188272836,27888.315815715996,27666.31840845632,298.77044276027124
14,20142,Estrato 4,M,60.31785367956039,58.62342419997845,60.87275078116582,58.00743454369141,63.81564486585497,27584.287145781705,27866.711776748194,27584.54035125525,301.63710807025103
15,20142,Estrato 5,F,60.130526315789474,61.58315789473684,60.57473684210526,59.602105263157895,68.67333333333333,24074.725263157896,24318.792280701753,24054.605263157893,310.56385964912283
16,20142,Estrato 5,M,61.757707653246285,59.816467174465,62.814653608995286,59.06819006166123,68.51432716721074,23534.27022125499,23908.345665578527,23579.464272760248,311.97134566557855
17,20142,Estrato 6,F,61.232,62.11644444444445,61.93333333333333,59.70488888888889,73.02666666666667,23019.76,23031.421333333332,23111.21422222222,318.0133333333333
18,20142,Estrato 6,M,63.51740357478833,60.940733772342426,64.84854186265287,60.048918156161804,73.61900282220132,23432.20978363123,23384.71119473189,23478.902163687675,322.9746001881468
19,20151,Estrato 1,F,39.743909348441925,44.45099150141643,41.99376770538244,43.49235127478754,44.210764872521246,39062.793767705385,38537.613031161476,38751.137677053826,213.8917847025496
20,20151,Estrato 1,M,43.503439649781114,44.921826141338336,45.41838649155722,45.03064415259537,45.05878674171357,39593.66103814884,39407.51156973108,38969.31207004378,223.9330831769856
21,20151,Estrato 2,F,44.37301119622864,47.733352975839715,45.29846788450206,46.93842074248674,46.632292280494994,37380.89893930466,37425.96405421332,36909.333824395995,230.97554507955215
22,20151,Estrato 2,M,46.95292479108635,47.40194986072424,48.52479108635097,47.869359331476325,47.255710306406684,35766.862395543176,35724.677715877435,35197.699442896934,238.00473537604458
23,20151,Estrato 3,F,52.3558853986883,53.469451156368656,51.29168104936141,53.283051432516395,53.719710044874006,49043.89920607525,49155.25923369003,48764.16189161201,264.11977908180876
24,20151,Estrato 3,M,53.86019690576653,52.38002812939522,54.246132208157526,53.37721518987342,53.297327707454286,,45463.2,45118.80675105485,267.16090014064696
25,20151,Estrato 4,F,62.291314837153195,61.00482509047045,60.722557297949336,60.87997587454765,68.0615199034982,45527.60735826297,46264.88721351025,45365.35826296743,312.9601930036188
26,20151,Estrato 4,M,64.23185143500281,59.94485087225661,64.50703432751828,61.909397861564436,67.90039392234102,42419.614518851995,43555.25998874508,42344.33708497468,318.4935284186832
27,20151,Estrato 5,F,66.66095890410959,64.28424657534246,65.7404109589041,64.21369863013699,76.35684931506849,38468.69452054794,39139.61643835616,38508.43424657534,337.25616438356167
28,20151,Estrato 5,M,68.6618911174785,63.009312320916905,69.56590257879657,65.0580229226361,76.08739255014326,38163.735673352436,39020.39111747851,38114.53438395415,342.38252148997134
29,20151,Estrato 6,F,69.14772727272727,65.99532085561498,70.0909090909091,65.97058823529412,83.54211229946524,28128.37165775401,28775.430481283423,27864.90975935829,354.7466577540107
30,20151,Estrato 6,M,71.29926470588235,64.82058823529412,73.36029411764706,67.07573529411765,83.24779411764706,25667.475,26251.51029411765,25459.89044117647,359.80367647058824
31,20152,,,66.0,65.0,76.0,62.0,73.0,76001.0,76001.0,76001.0,342.0
32,20152,,F,45.77142857142857,47.785714285714285,46.52857142857143,46.542857142857144,46.82857142857143,31701.285714285714,31611.77142857143,31698.52857142857,233.45714285714286
33,20152,,M,48.359375,46.21875,47.328125,47.921875,46.6875,,35964.03125,,236.515625
34,20152,Estrato 1,,45.729151817533854,45.690662865288665,44.38774055595153,44.704205274411976,46.0,39454.28367783321,39494.35709194583,39257.93228795438,226.51176051318603
35,20152,Estrato 1,F,46.07395016066531,46.68620631337456,45.153150437141996,46.28880048824607,46.53215879762053,37410.0633690449,37393.76564924226,,230.73426619704847
36,20152,Estrato 1,M,47.9278857726043,46.60499889277221,47.906559602553365,46.35835668139761,46.90447031185312,37513.63607829544,37471.87250512694,,235.70227126118058
37,20152,Estrato 2,,49.184350132625994,48.683023872679044,48.6657824933687,48.53183023872679,48.58090185676392,37216.637931034486,37284.989389920425,37173.20557029178,243.64588859416446
38,20152,Estrato 2,F,49.684721824978055,50.33753809434576,49.279723452309334,50.02954839091456,49.83260185614392,30690.74411448522,30684.259603720177,,249.16413361869164
